views,comments,likes,score
14,6,41,74
12,39,6,14
15,48,28,62
50,15,6,64
37,41,5,67
44,29,22,22
0,0,15,80
25,50,30,84
15,36,49,9
21,26,39,2
14,35,3,58
47,7,39,51
42,46,44,13
37,28,48,46
13,23,10,72
12,49,9,62
19,19,28,94
39,48,44,91
39,1,24,59
28,21,42,52
5,24,50,21
24,43,0,19
2,17,46,34
4,22,28,92
29,41,8,74
43,43,11,21
16,46,50,54
24,36,42,51
12,36,20,46
39,47,41,95
9,36,8,34
44,5,48,55
25,47,43,84
2,21,9,90
50,7,42,50
20,27,26,17
11,37,35,71
46,1,29,64
37,12,44,47
3,25,11,76
7,14,14,64
34,5,46,57
2,0,32,47
9,28,31,73
20,24,12,80
8,49,9,67
23,16,19,70
7,16,28,28
14,21,44,49
49,31,13,73
36,6,39,9
29,45,46,68
29,2,4,51
32,42,46,60
7,22,29,89
43,16,47,27
24,6,29,72
48,11,7,79
40,18,27,81
19,26,29,85
39,47,25,5
31,34,7,42
41,11,45,68
36,7,39,87
32,33,46,71
13,46,45,66
27,38,9,64
7,22,47,35
20,12,27,30
23,32,2,30
33,35,39,72
17,14,31,99
4,2,16,8
6,49,17,49
0,34,26,84
42,16,13,41
7,24,35,88
4,24,26,20
17,34,7,54
22,12,50,60
49,31,38,61
17,32,33,20
0,10,13,15
9,41,12,59
10,5,34,89
10,42,8,2
30,13,12,86
43,43,26,41
43,46,27,55
15,46,3,75
30,43,26,1
0,21,35,84
27,38,11,44
28,6,15,67
14,50,17,93
0,13,4,50
24,34,18,87
10,40,12,85
44,23,20,65
17,18,35,27
12,30,9,91
49,19,13,16
33,11,14,73
44,20,14,36
22,49,20,51
46,31,44,71
11,37,25,56
45,12,30,97
14,43,43,92
15,5,0,75
29,35,50,86
48,38,32,14
40,28,38,81
8,26,23,74
42,25,26,2
11,3,40,66
30,32,36,35
44,45,37,34
18,46,35,74
33,29,50,36
18,1,10,71
44,28,5,80
41,40,13,26
47,41,45,53
36,22,32,60
1,8,43,78
13,45,50,95
32,12,7,76
21,24,4,92
37,6,14,62
49,41,50,50
9,4,16,99
4,33,41,24
20,17,44,57
21,23,11,59
8,26,0,48
31,21,8,46
5,25,34,7
20,21,5,63
24,20,38,80
35,3,3,65
0,25,44,82
30,5,47,55
20,40,15,4
44,40,5,23
2,6,20,67
39,6,7,85
17,37,25,74
39,29,4,53
50,22,1,38
9,2,50,13
38,46,16,95
16,28,11,98
22,45,25,21
47,50,1,51
33,40,40,76
19,0,15,31
39,29,13,50
25,36,31,65
28,6,31,60
29,36,19,91
28,45,49,89
42,13,47,53
47,2,44,79
16,19,43,19
31,50,1,36
1,26,18,59
11,46,39,67
14,7,49,14
28,38,18,23
14,50,12,35
48,27,30,78
8,39,0,37
16,11,25,75
35,42,45,69
2,9,38,85
7,37,35,44
36,0,31,69
29,13,36,9
38,35,27,97
47,11,26,53
34,27,7,92
36,37,44,69
16,0,31,50
9,15,44,92
7,16,19,23
33,14,5,82
36,50,45,15
13,47,26,64
24,43,41,76
12,11,16,55
50,10,41,100
1,30,19,89
20,7,17,73
40,47,23,94
21,28,25,47
40,6,26,56
35,18,19,65
47,27,44,24
34,26,21,74
33,20,30,3
48,30,10,24
7,16,2,96
19,9,27,67
20,30,1,50
20,40,22,85
43,21,24,82
31,46,5,55
22,45,25,52
49,0,17,70
7,18,49,24
7,1,49,74
26,27,15,82
6,33,49,81
14,1,17,35
31,15,9,76
1,49,28,60
47,45,49,57
12,48,17,35
19,11,37,32
14,34,34,11
15,21,45,52
27,48,25,95
50,21,16,73
50,23,38,50
42,16,16,81
0,1,46,84
36,37,2,61
48,17,36,53
22,42,38,42
24,49,32,33
39,5,14,46
21,23,22,34
1,5,25,57
43,32,17,32
27,17,41,38
27,1,0,53
15,48,41,89
16,48,46,44
30,9,8,68
33,26,11,47
12,11,45,77
30,8,34,13
34,33,16,67
8,6,34,49
15,10,45,60
5,18,43,59
23,24,14,20
45,19,10,67
0,23,13,20
33,15,43,64
38,6,12,12
13,7,13,34
37,8,13,72
13,1,31,55
37,4,20,90
28,42,22,36
43,33,31,78
1,9,46,28
29,26,50,70
16,3,14,96
5,49,45,70
12,25,13,87
8,3,43,55
26,0,50,89
8,13,38,72
30,31,1,35
16,24,48,8
18,22,48,33
24,26,32,100
9,10,3,13
24,47,2,53
49,21,44,55
28,21,4,15
25,15,19,98
12,39,25,76
41,17,25,83
27,16,30,57
6,18,44,45
7,31,47,0
17,3,27,95
40,41,25,26
42,37,27,71
50,46,39,50
38,6,39,58
44,19,2,96
0,33,37,1
7,20,50,87
37,34,15,92
17,42,26,78
12,4,14,3
22,32,3,6
24,22,45,39
5,30,11,70
28,4,37,10
24,8,17,84
12,45,43,57
9,38,8,68
46,24,10,53
13,14,25,86
26,47,9,66
29,19,36,15
43,5,27,18
16,5,0,41
14,45,31,72
29,20,20,7
26,49,10,43
18,0,48,73
14,40,7,84
18,5,34,3
14,25,25,69
3,27,37,51
31,15,33,68
2,45,48,61
31,15,29,55
22,50,46,43
34,5,49,12
30,27,11,19
28,20,21,66
46,11,24,59
34,43,34,71
18,21,12,95
37,17,11,74
32,41,11,91
32,27,50,60
5,48,50,89
40,36,14,51
11,46,10,82
30,17,21,3
19,7,0,91
12,3,35,30
0,18,47,15
12,38,23,20
6,32,38,22
31,11,1,57
6,40,26,35
16,22,44,93
37,32,31,62
2,2,27,66
30,18,13,62
6,15,39,77
33,13,12,52
19,18,1,78
21,10,42,100
47,50,29,93
1,8,36,85
29,32,26,59
34,36,6,36
30,8,34,91
48,6,11,71
35,9,27,97
42,11,32,69
26,0,36,32
48,40,13,17
3,4,47,99
31,17,35,3
35,42,23,64
41,13,2,69
14,32,41,2
1,12,5,22
14,0,28,74
40,24,25,53
18,49,33,87
36,23,47,77
46,38,11,47
5,26,19,77
11,23,5,92
16,38,35,70
21,16,27,68
22,2,11,71
16,14,36,8
14,41,24,61
4,38,39,69
5,12,1,57
37,17,34,79
41,10,19,62
20,19,50,61
18,24,39,72
8,16,3,62
19,19,40,53
33,20,14,66
31,13,27,27
18,31,1,75
20,35,4,50
24,40,2,30
49,21,4,29
32,4,12,13
27,26,41,31
2,3,43,59
43,43,15,92
34,0,10,98
18,43,6,47
30,50,3,95
19,26,26,61
36,2,27,92
31,34,15,44
3,7,6,55
12,32,26,53
13,10,45,39
14,8,39,46
15,23,25,21
22,12,21,66
22,43,48,54
10,15,11,91
35,7,6,96
8,14,43,86
30,0,9,55
5,11,42,71
10,14,33,34
2,45,36,78
7,5,39,30
48,39,7,4
0,30,35,25
11,34,40,80
14,36,3,73
50,35,31,52
44,45,28,90
49,35,2,58
9,2,16,74
41,14,38,87
38,50,29,69
20,14,47,16
19,4,0,21
39,7,34,21
29,23,37,51
4,11,47,76
38,44,42,71
42,36,39,51
28,48,22,81
28,5,25,66
19,40,38,50
13,17,34,11
10,11,2,73
38,50,46,17
7,8,33,94
12,1,34,66
20,33,33,14
39,41,11,72
38,24,27,41
11,1,36,94
4,7,38,96
28,34,37,70
42,26,13,46
24,11,27,63
45,41,16,32
6,46,38,23
27,44,32,63
5,26,39,89
13,0,36,28
19,18,38,91
2,19,28,46
11,14,32,74
45,19,22,74
30,40,5,11
11,24,30,60
36,37,29,69
9,4,29,72
13,38,13,10
39,50,18,35
17,23,15,66
23,28,30,74
44,44,15,30
0,19,21,59
27,35,46,71
37,7,24,54
45,8,22,87
39,36,4,78
10,18,27,51
46,8,13,81
7,44,30,60
23,29,14,37
7,32,41,59
0,11,39,86
9,4,11,87
36,49,1,92
19,17,8,85
27,48,48,53
8,16,3,53
48,8,24,62
24,37,9,25
8,27,45,52
40,2,41,6
47,30,30,41
10,15,12,60
1,36,24,77
15,10,5,90
45,36,0,6
38,18,18,56
15,36,45,71
19,49,29,61
29,44,40,47
25,44,13,82
50,49,46,69
5,36,48,63
23,10,7,55
46,42,37,95
12,28,17,52
29,42,9,84
43,44,37,71
37,33,35,69
36,17,18,29
44,17,37,56
37,6,44,33
47,5,5,39
0,5,16,57
36,19,34,25
29,30,42,40
32,36,33,7
38,43,24,74
40,11,1,74
44,19,48,74
17,15,4,67
38,14,28,40
28,15,42,34
42,17,50,46
30,19,33,32
42,30,11,62
50,14,4,74
44,46,0,24
1,28,14,80
7,33,0,35
38,1,5,98
26,23,43,59
3,45,50,77
40,50,25,62
26,37,42,47
47,46,10,61
12,9,17,9
25,1,16,72
34,10,38,75
33,19,38,99
0,34,0,95
12,32,1,56
24,8,10,89
37,44,13,41
16,46,36,74
37,43,1,46
49,24,13,56
35,48,26,65
19,32,1,88
21,11,35,44
27,18,44,48
6,26,46,9
15,22,27,11
40,12,25,93
36,37,27,33
7,35,40,8
31,24,27,61
31,8,34,46
18,40,48,59
3,14,48,57
12,46,49,100
25,7,30,76
8,50,24,48
41,34,34,89
36,32,19,58
7,3,26,81
20,49,44,28
19,6,26,27
38,17,30,61
24,10,8,51
2,50,33,48
37,38,7,0
5,10,6,14
26,3,0,72
50,35,3,32
35,46,16,62
12,8,2,60
28,26,8,67
5,40,34,75
7,1,25,55
47,20,32,60
42,32,32,36
7,11,50,79
11,38,40,16
17,35,39,81
46,21,24,61
18,15,45,56
14,15,13,96
43,47,33,49
15,12,4,46
10,18,24,21
27,7,48,23
17,2,3,57
0,34,22,55
1,46,6,94
18,34,23,3
7,12,7,95
49,16,13,84
32,35,44,71
27,28,28,71
25,34,23,86
23,5,4,28
29,1,25,35
5,4,34,47
39,33,15,53
0,42,6,81
9,37,32,13
28,1,11,47
32,17,26,69
44,50,32,68
2,34,31,72
21,33,4,51
26,23,26,21
1,37,19,75
7,25,3,4
21,7,15,15
9,33,45,13
15,2,6,70
3,26,5,54
5,45,2,5
35,17,11,32
48,2,28,65
42,17,27,67
41,27,38,77
18,43,18,95
12,42,23,27
27,45,13,90
26,43,37,53
26,0,47,66
49,46,32,56
26,7,41,51
6,21,48,75
19,4,45,55
13,19,18,55
2,19,19,46
12,17,31,92
47,40,27,64
0,47,19,43
23,2,14,68
24,23,27,87
32,34,27,40
8,9,24,16
31,9,28,92
22,43,0,84
27,31,38,69
50,41,8,77
34,47,27,78
45,8,11,56
33,46,8,64
18,38,6,65
8,16,7,38
24,18,9,28
4,23,38,11
8,45,43,88
22,48,20,31
14,42,9,23
40,32,50,59
12,41,9,34
47,45,36,68
49,16,37,51
42,16,49,57
48,49,16,92
15,13,6,35
25,11,22,60
20,25,15,70
40,7,29,15
47,45,23,49
28,37,5,69
17,5,34,34
35,39,24,84
21,45,10,49
30,38,35,43
48,44,16,27
36,19,27,66
45,22,19,64
9,5,7,58
21,7,33,43
15,11,27,73
13,3,1,7
25,2,18,97
9,18,30,75
18,35,1,62
33,26,14,84
29,9,1,44
49,10,37,52
50,11,35,70
48,16,29,35
0,29,34,78
25,18,18,18
12,4,16,33
45,42,42,47
2,1,38,28
17,1,6,66
19,34,27,73
25,16,42,38
3,21,39,18
7,27,23,60
30,14,20,84
31,47,0,33
37,25,41,17
36,50,29,10
11,41,8,51
16,20,10,62
21,33,37,12
33,47,42,83
17,46,3,51
30,1,11,14
44,24,27,30
9,5,20,74
47,2,49,41
42,42,46,85
46,23,42,89
37,18,11,34
29,46,39,5
26,29,28,85
36,20,33,78
0,47,24,98
41,31,37,31
23,7,0,62
41,9,15,57
28,31,34,91
13,49,39,72
48,37,13,95
46,0,10,69
15,13,40,76
18,45,47,8
10,46,21,46
14,37,2,89
43,26,20,94
14,1,29,68
13,1,18,83
7,36,35,84
45,49,18,93
30,36,25,72
27,7,30,82
35,26,3,65
5,3,24,73
7,14,9,79
18,12,37,51
1,6,4,18
45,30,19,94
37,31,1,54
39,49,25,64
50,40,42,1
4,44,37,63
5,5,43,76
18,32,44,24
47,23,6,65
11,27,5,73
46,11,12,20
43,18,12,71
5,35,36,87
5,32,41,58
12,28,16,85
20,19,50,68
38,22,29,57
22,0,2,67
17,45,1,17
4,41,40,88
7,26,27,39
38,23,48,70
45,48,6,35
20,37,7,65
4,37,35,64
7,21,33,55
9,22,11,25
47,15,38,98
36,17,28,93
36,3,10,56
14,13,22,17
38,15,33,85
22,17,30,26
42,13,31,66
39,12,45,68
32,5,37,72
17,50,40,4
20,4,1,30
19,20,5,64
5,35,29,99
47,48,22,60
9,22,31,52
44,45,42,34
34,40,12,59
0,5,33,32
18,19,29,77
16,7,40,69
41,10,21,6
43,21,37,76
43,15,22,73
25,10,16,47
28,15,41,22
29,43,8,9
21,0,29,70
47,26,36,68
6,6,11,37
5,14,14,46
46,35,37,97
37,3,28,48
35,20,46,33
10,21,20,29
28,19,2,51
0,47,22,48
46,48,29,33
40,7,20,66
37,20,42,5
24,35,39,89
15,36,35,66
19,49,19,53
22,48,44,63
15,23,28,26
4,13,43,29
19,8,44,36
19,28,19,13
34,37,13,34
3,5,44,70
0,23,26,43
0,5,28,78
20,38,46,54
21,47,41,94
44,27,8,60
16,3,0,36
42,14,4,92
22,20,24,88
38,40,14,20
25,33,17,56
18,4,0,88
32,49,7,57
21,50,44,7
23,8,41,56
19,38,4,87
0,44,40,73
39,6,13,100
18,21,49,98
23,21,36,58
46,7,19,76
16,27,5,66
22,45,33,39
22,24,20,56
30,26,39,8
43,37,13,33
35,2,1,62
31,4,1,44
46,36,41,63
5,20,47,93
17,8,30,99
23,32,22,83
11,31,31,51
9,36,44,52
2,29,13,67
38,4,48,87
47,50,33,62
32,50,33,96
5,37,24,48
18,16,11,35
21,35,6,66
14,44,11,54
44,27,11,50
11,13,31,56
49,50,29,9
30,47,2,66
41,37,22,96
40,13,42,20
24,15,2,92
42,34,50,43
29,41,5,40
6,36,49,63
14,50,28,33
9,37,18,62
44,1,17,73
5,33,19,3
48,49,47,38
46,41,46,90
44,22,29,60
11,10,8,63
6,24,35,16
4,18,11,70
20,43,37,54
32,42,38,11
5,13,18,57
44,6,17,38
14,38,11,41
50,25,33,50
0,31,50,28
2,46,15,67
15,33,16,82
42,12,24,77
6,43,18,63
19,18,4,5
24,21,34,36
9,50,44,54
31,38,24,42
21,17,16,54
25,23,46,76
15,18,50,57
27,29,27,3
0,24,40,72
37,37,42,52
31,29,5,46
50,48,39,86
14,29,22,94
38,8,31,98
15,36,28,68
37,28,24,73
2,31,48,30
5,31,24,68
37,20,22,78
13,26,39,95
5,43,34,36
27,48,8,55
15,6,45,52
44,45,15,85
45,14,18,68
13,29,45,55
1,20,31,25
32,42,35,73
1,33,31,67
11,31,37,8
5,2,15,51
50,8,49,85
26,50,24,69
25,34,39,51
39,20,12,66
49,41,12,2
45,19,23,28
25,30,46,16
0,12,0,87
5,44,16,62
46,35,45,49
47,13,41,95
13,28,21,70
24,30,30,13
9,11,10,36
34,25,44,71
30,27,46,84
42,41,24,65
18,26,47,91
11,40,4,100
40,32,30,66
11,1,12,68
39,37,26,34
22,6,11,50
2,47,4,65
44,44,27,79
31,9,17,70
38,30,4,68
33,11,16,13
18,37,12,12
13,7,39,47
29,32,37,65
13,48,35,22
9,24,35,68
50,18,8,78
20,27,14,65
44,4,11,15
8,33,20,84
39,14,21,50
23,2,20,100
26,38,41,43
40,37,5,86
8,46,0,72
20,44,15,8
6,30,13,96
19,6,4,47
36,41,27,45
37,13,12,96
44,14,8,49
22,31,7,26
13,25,13,14
35,30,44,85
38,39,5,87
0,10,9,66
5,24,24,70
21,46,21,56
50,44,13,31
9,47,3,36
44,25,4,55
47,46,18,45
40,2,23,92
12,25,32,90
18,41,17,75
18,46,48,77
5,49,5,52
44,15,29,69
9,34,48,85
39,12,47,4
18,4,11,45
11,9,34,53
13,39,4,90
10,38,6,39
20,43,19,47
4,36,39,62
25,11,37,78
2,10,32,95
34,30,18,83
49,18,4,50
12,2,49,52
5,18,32,72
41,16,24,68
26,7,30,96
29,33,18,56
35,31,23,99
39,45,8,32
38,3,50,60
48,41,4,57
31,24,39,81
45,32,0,61
17,34,41,85
20,12,24,58
30,4,47,53
25,3,17,80
47,23,31,55
35,0,34,100
24,33,15,7
43,15,9,56
32,18,47,86
35,3,18,68
25,37,28,57
38,15,4,11
3,5,32,76
9,36,45,33
19,1,4,8
26,32,25,74
50,3,11,69
41,23,17,84
33,47,1,63
30,6,17,66
50,28,36,63
17,23,14,94
47,32,41,56
27,33,22,28
17,34,26,74
35,15,3,12
3,47,21,10
34,27,25,96
39,0,49,75
50,27,41,67
34,50,33,68
15,7,28,54
34,33,4,63
7,15,24,95
15,28,11,100
14,13,20,62
11,11,25,21
39,40,21,34
18,9,8,80
38,50,26,21
38,39,8,67
37,21,21,61
2,23,50,77
12,41,19,79
12,2,16,94
36,3,44,62
26,3,29,87
48,46,15,83
2,49,49,75
9,47,9,3
24,28,14,84
3,13,20,59
43,42,4,60
30,42,21,43
22,9,11,59
4,39,17,43
42,30,25,33
1,14,22,43
43,0,20,12
49,9,15,49
23,46,0,59
44,18,37,97
22,18,27,86
49,39,15,95
31,22,7,86
45,26,45,32
30,6,28,17
35,49,1,58
24,44,33,66
16,29,6,73
13,50,18,42
30,23,1,51
19,31,35,53
49,39,21,87
24,48,24,20
5,27,21,74
35,19,25,59
4,36,46,53
2,37,20,62
28,18,26,66
0,2,23,74
30,27,50,66
32,27,41,45
17,17,8,2
43,23,7,56
46,49,16,59
9,6,7,53
44,32,40,53
49,46,35,100
16,49,18,69
44,29,39,91
40,32,28,36
41,20,50,43
9,11,29,75
20,37,1,45
7,48,7,16
27,42,32,31
36,41,13,94
48,27,44,69
1,30,47,57
15,41,36,69
20,44,27,15
41,34,43,91
41,50,50,48
0,20,21,100
26,6,23,99
26,46,50,61
9,12,28,36
6,49,17,54
13,8,20,61
34,13,27,53
36,36,15,96
25,32,44,64
41,16,30,71
41,11,31,60
46,2,26,66
29,5,39,32
19,7,11,60
13,27,7,74
32,49,29,87
25,34,2,36
3,13,12,42
0,43,45,98
50,4,41,76
40,27,25,54
24,23,24,34
48,38,0,80
45,38,34,4
49,23,9,94
35,10,21,5
11,38,21,64
42,18,5,73
23,39,16,23
22,45,48,35
37,14,49,96
27,34,34,84
25,36,14,11
43,22,47,84
37,0,40,83
13,12,42,54
29,22,40,67
4,5,20,79
45,0,21,77
14,28,14,65
2,10,29,64
8,25,37,66
20,34,37,53
0,30,43,70
21,49,38,68
6,32,10,90
41,24,5,70
14,45,26,72
2,42,49,73
27,6,36,11
3,24,14,45
16,44,39,78
34,0,18,95
3,43,30,19
39,7,11,60
36,2,18,75
22,11,15,19
19,42,50,96
10,47,37,2
31,10,44,22
35,8,24,77
40,39,10,52
42,0,44,98
45,21,21,71
29,26,42,54
41,17,0,59
37,27,19,83
27,4,44,76
9,31,48,36
40,30,32,57
0,36,8,18
12,3,39,94
26,6,27,62
50,30,15,32
35,16,22,37
32,5,10,14
5,1,0,67
24,28,8,60
27,28,26,75
46,37,22,44
0,19,36,95
25,23,15,36
24,33,20,78
37,38,17,55
11,2,42,65
31,31,20,32
38,43,20,30
32,37,25,49
14,37,2,52
15,11,30,86
31,38,7,78
13,48,22,63
22,27,22,13
33,45,20,80
4,26,45,68
33,11,50,100
30,8,9,54
8,11,46,57
2,44,30,67
6,8,29,63
19,19,20,97
5,5,37,97
47,25,33,34
48,22,22,77
1,22,47,86
0,47,48,57
37,40,19,59
2,31,44,15
43,0,26,28
13,17,37,51
31,37,29,62
26,43,21,43
40,36,6,72
7,45,17,79
45,15,23,34
6,27,22,27
37,46,30,63
19,20,43,8
24,38,5,40
41,10,49,44
30,4,9,65
34,22,5,15
27,18,33,74
21,8,20,35
7,18,22,88
46,4,19,70
31,1,37,98
29,39,47,21
0,19,39,37
47,13,49,63
46,17,34,69
20,24,29,69
35,40,13,60
16,37,19,73
26,48,48,77
9,16,1,53
46,11,25,60
40,47,7,66
38,1,8,0
35,13,0,61
16,2,13,64
3,33,39,71
24,27,16,46
27,21,48,44
7,0,49,99
30,38,36,19
41,41,36,60
7,6,29,96
18,33,32,54
27,12,36,30
46,39,19,85
6,24,47,80
41,18,16,5
35,30,23,42
6,44,5,49
4,25,13,89
5,29,7,49
15,25,36,59
7,27,11,45
0,29,45,74
45,6,49,37
15,3,42,0
18,43,48,48
8,40,50,61
0,3,38,96
19,28,0,51
21,22,1,28
34,42,18,99
50,8,49,88
11,38,42,85
48,45,34,78
30,12,38,73
45,14,39,55
5,48,2,64
8,35,7,71
50,44,47,46
16,39,3,74
21,31,23,47
40,43,27,85
34,41,48,100
42,35,9,42
12,22,45,69
39,9,40,86
21,11,10,54
34,41,42,91
21,25,45,55
41,19,34,83
13,20,12,62
43,35,20,85
48,33,24,5
39,37,28,57
18,1,11,96
45,44,5,71
18,3,12,90
0,5,40,54
27,5,13,100
21,48,20,22
21,13,32,61
43,48,45,80
41,20,42,25
9,0,17,71
37,40,35,63
10,31,17,96
7,23,32,80
41,47,19,73
49,39,37,59
27,23,26,47
20,27,22,90
4,11,41,87
48,15,19,58
49,8,18,77
39,0,44,86
2,50,25,38
32,33,27,54
14,31,27,68
37,31,10,84
31,22,38,26
9,14,36,18
13,4,22,58
5,28,22,36
3,41,27,26
33,28,22,51
48,5,15,66
0,24,15,76
38,21,4,89
5,29,18,30
7,20,16,26
14,50,26,66
14,17,42,44
47,39,8,80
13,15,45,13
25,50,26,33
42,12,4,97
30,50,29,55
17,8,30,98
28,35,23,72
43,26,37,53
40,43,46,64
20,17,26,80
28,17,13,16
43,44,14,12
50,45,41,58
18,20,32,76
33,15,23,75
9,17,18,23
20,30,17,75
32,21,38,22
23,13,36,53
10,19,50,56
4,7,24,52
37,43,23,6
22,49,36,8
31,32,7,50
26,15,23,75
12,7,31,22
48,26,24,36
43,29,28,58
8,12,47,88
10,23,1,74
9,36,8,78
12,27,17,48
43,15,46,50
3,8,10,43
26,12,29,94
48,35,8,90
43,28,17,32
25,6,27,13
21,47,46,57
35,19,2,62
30,38,24,51
44,32,13,89
37,26,49,95
13,37,40,77
23,43,0,72
7,35,7,86
49,26,15,51
46,21,18,34
13,20,44,56
35,37,32,68
30,29,24,43
28,48,0,68
22,48,22,100
24,21,25,41
49,6,39,82
16,36,47,44
22,2,47,10
28,42,4,0
48,50,33,23
21,3,6,73
29,41,46,57
18,28,47,37
31,7,12,48
33,25,12,68
7,37,2,95
43,1,47,60
49,29,46,27
0,7,18,30
42,25,17,70
44,41,1,32
43,29,20,34
12,4,28,67
5,5,17,73
2,19,44,98
43,11,7,90
9,2,27,61
0,35,21,45
11,3,28,27
26,1,28,74
47,4,14,91
39,37,22,82
28,45,5,47
5,7,16,83
48,14,33,30
25,48,0,74
9,4,1,65
39,50,46,67
11,8,27,92
7,26,7,24
20,41,24,49
47,2,6,54
1,22,4,35
32,18,28,25
2,24,20,54
25,45,19,25
6,0,37,57
35,7,7,29
21,29,1,67
7,38,11,73
45,26,37,10
35,33,39,59
41,45,25,19
30,45,9,56
11,45,30,71
17,11,41,73
23,50,45,62
32,42,11,89
45,49,36,70
45,15,22,71
35,47,19,84
10,20,33,85
14,47,6,65
27,34,34,86
40,33,47,64
44,32,20,43
48,35,7,39
15,24,0,51
20,11,30,93
31,46,18,95
14,44,18,36
25,46,42,32
15,38,26,40
10,5,2,54
46,6,33,87
33,3,48,95
5,21,20,49
33,30,12,53
37,16,4,65
16,1,23,60
8,13,38,29
40,36,9,41
18,42,6,59
42,5,22,52
11,20,50,45
45,23,22,71
45,2,26,85
12,15,1,1
32,28,39,2
47,34,7,64
22,10,2,31
42,8,27,9
22,45,37,73
39,36,21,5
40,42,5,96
2,45,22,61
32,46,45,71
6,9,13,56
30,22,23,44
24,23,42,4
39,12,11,46
9,27,16,91
4,27,8,13
12,32,16,4
42,10,48,38
24,25,25,95
31,6,14,95
7,48,16,53
32,2,31,89
7,1,9,65
14,44,35,87
38,21,10,28
16,47,4,64
5,32,7,77
16,36,20,1
45,9,32,60
48,20,32,60
4,24,29,1
31,15,14,43
48,16,0,52
44,24,8,90
2,15,14,21
48,8,37,26
29,27,22,55
43,10,2,49
12,42,43,65
19,12,4,53
50,22,21,54
25,14,7,43
43,5,7,80
18,42,7,60
0,30,9,20
24,40,47,37
41,4,7,64
1,47,33,87
24,5,17,40
45,48,10,61
34,36,50,99
39,1,42,60
21,48,30,48
28,47,46,64
41,16,28,90
48,26,1,22
48,50,41,70
12,27,21,53
29,14,3,70
49,4,46,41
20,2,5,65
27,6,22,2
30,0,48,82
29,50,42,43
14,37,16,86
11,17,16,54
19,15,2,54
6,18,32,58
14,28,6,50
24,16,10,93
18,39,9,83
23,8,42,48
14,11,19,53
40,15,8,80
14,8,40,52
13,11,0,57
26,7,25,56
32,2,50,52
48,18,6,63
6,43,36,56
49,15,12,64
10,43,8,42
47,3,12,56
14,36,21,46
16,14,1,76
9,23,21,48
4,48,48,77
13,35,27,81
48,14,2,47
25,39,25,39
29,2,8,100
44,13,16,70
11,50,20,75
48,0,12,69
35,30,38,90
42,41,38,84
46,19,5,76
19,50,20,58
42,29,28,1
31,44,49,88
23,27,28,46
34,39,38,63
18,10,24,32
12,14,23,40
17,34,11,71
19,5,9,49
46,35,48,84
11,30,14,64
3,13,40,64
31,22,45,14
17,21,4,25
3,27,44,38
18,0,28,89
43,13,24,83
1,34,43,11
1,41,24,100
49,48,41,19
26,38,24,97
19,21,39,63
32,17,18,15
27,16,12,97
42,34,3,49
24,24,0,35
20,34,46,99
33,32,46,17
32,0,8,0
17,13,37,62
22,36,13,81
36,36,2,73
2,40,12,40
42,19,28,100
8,50,4,78
